,userId,movieId,rating,timestamp
6707,37,593,5.0,2001-06-16 18:25:56
7848,50,1234,5.0,2009-12-29 06:46:44
2255,23,59315,5.0,2019-10-04 08:53:12
2258,23,79132,5.0,2019-10-04 08:52:34
2259,23,80463,5.0,2019-10-04 08:55:25
2260,23,80489,5.0,2020-06-21 08:27:17
7857,50,1278,5.0,2009-12-29 06:47:04
7858,50,1288,5.0,2009-12-29 07:09:18
2261,23,81932,5.0,2020-09-06 11:30:38
7861,50,1617,5.0,2009-12-29 07:04:30
7862,50,1732,5.0,2009-12-29 06:52:26
7864,50,2019,5.0,2009-12-29 07:01:35
2270,23,109487,5.0,2019-10-04 08:52:54
2271,23,110110,5.0,2021-02-07 10:35:00
7876,50,2959,5.0,2009-12-29 07:05:21
2272,23,111759,5.0,2019-10-04 08:53:14
2273,23,112183,5.0,2021-10-31 10:33:27
2276,23,115210,5.0,2019-10-04 08:54:52
7883,50,4027,5.0,2009-12-31 04:58:12
7885,50,4226,5.0,2009-12-29 07:00:40
2279,23,116797,5.0,2019-10-04 08:53:23
2253,23,45672,5.0,2021-03-03 11:32:14
6286,35,6104,5.0,2015-07-21 11:48:05
7892,50,6016,5.0,2009-12-29 06:51:38
7845,50,1214,5.0,2009-12-29 07:09:28
6318,35,7396,5.0,2018-12-02 20:01:46
7815,50,318,5.0,2009-12-29 06:51:17
6317,35,7371,5.0,2015-07-19 16:35:43
7820,50,593,5.0,2009-12-29 07:08:00
7821,50,608,5.0,2009-12-29 07:04:23
7822,50,750,5.0,2009-12-29 07:00:43
2233,22,207313,5.0,2020-02-11 23:18:54
7827,50,908,5.0,2009-12-29 07:01:52
6299,35,6807,5.0,2015-07-21 11:49:01
7833,50,1089,5.0,2009-12-29 06:52:10
7834,50,1136,5.0,2009-12-29 07:05:51
6295,35,6711,5.0,2015-07-19 15:41:49
7836,50,1196,5.0,2009-12-29 07:12:16
2245,23,318,5.0,2019-10-04 08:38:11
7838,50,1201,5.0,2009-12-29 07:02:33
7839,50,1203,5.0,2009-12-29 06:54:27
2249,23,2028,5.0,2020-07-19 12:04:36
7842,50,1208,5.0,2009-12-29 07:03:07
7843,50,1209,5.0,2009-12-29 07:02:47
7889,50,4973,5.0,2009-12-29 07:03:49
2282,23,134130,5.0,2019-10-04 08:54:34
7810,50,47,5.0,2009-12-29 07:11:39
6245,35,4306,5.0,2015-07-19 15:32:16
2325,24,1966,5.0,1999-12-16 12:15:01
2329,24,2324,5.0,1999-12-16 12:18:04
6231,35,3925,5.0,2015-07-25 12:35:01
2332,24,2501,5.0,1999-12-16 12:19:37
6219,35,3677,5.0,2015-07-25 12:06:49
6218,35,3676,5.0,2015-07-19 16:30:12
6213,35,3503,5.0,2015-07-19 16:35:36
8055,53,260,5.0,2017-02-15 17:03:09
8057,53,589,5.0,2017-02-15 17:04:18
8058,53,1036,5.0,2017-02-15 17:04:18
8059,53,1240,5.0,2017-02-15 17:04:02
8060,53,2571,5.0,2017-02-15 17:03:15
8061,53,3578,5.0,2017-02-15 17:08:18
8062,53,4993,5.0,2017-02-15 17:04:24
8064,53,5952,5.0,2017-02-15 17:07:24
8065,53,7153,5.0,2017-02-15 17:03:18
8066,53,8368,5.0,2017-02-15 17:08:13
8067,53,8665,5.0,2017-02-15 17:08:17
8069,53,33794,5.0,2017-02-15 17:04:12
2324,24,1959,5.0,1999-12-16 12:21:44
2317,24,1148,5.0,1999-12-16 12:15:45
2283,23,138036,5.0,2021-03-16 05:12:50
6247,35,4437,5.0,2018-12-02 19:38:28
2284,23,138210,5.0,2020-07-25 13:24:45
2285,23,142488,5.0,2021-10-31 10:33:06
2286,23,143385,5.0,2020-08-21 11:46:56
2287,23,148626,5.0,2019-10-04 08:54:36
2289,23,157699,5.0,2020-09-01 13:15:58
2293,23,164179,5.0,2019-10-04 08:55:00
2296,23,176751,5.0,2020-08-12 12:16:11
7910,50,52435,5.0,2009-12-29 07:10:49
6266,35,5225,5.0,2015-07-25 12:18:54
2299,23,197691,5.0,2020-08-12 19:04:43
7915,50,55820,5.0,2009-12-29 07:01:20
2300,23,209595,5.0,2020-09-01 13:15:29
2301,23,210861,5.0,2021-04-16 11:59:43
2304,23,250010,5.0,2021-11-24 14:55:34
6260,35,4973,5.0,2015-07-19 15:34:49
6258,35,4878,5.0,2015-07-19 15:53:28
7931,51,260,5.0,2006-06-26 16:13:58
6255,35,4848,5.0,2015-07-19 16:30:21
7962,51,2959,5.0,2006-06-26 16:15:28
